simulation,Spain,Argentina,France,England,Brazil
232,19.396551724137932,20.25862068965517,13.793103448275861,8.189655172413794,5.172413793103448
233,19.742489270386265,20.171673819742487,13.733905579399142,8.15450643776824,5.150214592274678
234,19.65811965811966,20.51282051282051,13.675213675213676,8.11965811965812,5.128205128205128
235,19.574468085106382,20.425531914893615,13.617021276595745,8.085106382978724,5.106382978723404
236,19.491525423728813,20.33898305084746,13.983050847457626,8.050847457627118,5.084745762711865
237,19.40928270042194,20.253164556962027,13.924050632911392,8.438818565400844,5.063291139240507
238,19.327731092436977,20.588235294117645,13.865546218487395,8.403361344537815,5.042016806722689
239,19.665271966527197,20.502092050209207,13.807531380753138,8.368200836820083,5.02092050209205
240,19.583333333333332,20.416666666666668,13.750000000000002,8.333333333333332,5.0
241,19.502074688796682,20.33195020746888,13.692946058091287,8.29875518672199,4.979253112033195
242,19.421487603305785,20.24793388429752,13.636363636363635,8.264462809917356,4.958677685950414
243,19.34156378600823,20.16460905349794,13.580246913580247,8.23045267489712,4.938271604938271
244,19.262295081967213,20.081967213114755,13.524590163934427,8.19672131147541,4.918032786885246
245,19.183673469387756,20.0,13.46938775510204,8.16326530612245,4.8979591836734695
246,19.10569105691057,19.91869918699187,13.414634146341465,8.130081300813007,4.878048780487805
247,19.02834008097166,19.838056680161944,13.360323886639677,8.097165991902834,4.8582995951417
248,18.951612903225808,19.758064516129032,13.306451612903224,8.064516129032258,4.838709677419355
249,18.87550200803213,20.080321285140563,13.253012048192772,8.032128514056225,4.819277108433735
250,19.2,20.0,13.200000000000001,8.0,4.8
251,19.12350597609562,20.318725099601593,13.147410358565736,7.968127490039841,4.780876494023905
252,19.444444444444446,20.238095238095237,13.095238095238097,7.936507936507936,4.761904761904762
253,19.367588932806324,20.158102766798418,13.043478260869565,7.905138339920949,4.743083003952568
254,19.68503937007874,20.078740157480315,12.992125984251967,7.874015748031496,4.724409448818897
255,20.0,20.0,12.941176470588237,7.8431372549019605,4.705882352941177
256,19.921875,19.921875,12.890625,7.8125,4.6875
257,19.844357976653697,19.844357976653697,13.229571984435799,7.782101167315175,4.669260700389105
258,20.155038759689923,19.767441860465116,13.178294573643413,7.751937984496124,4.651162790697675
259,20.077220077220076,19.69111969111969,13.127413127413126,7.722007722007722,4.633204633204633
260,20.384615384615383,19.615384615384617,13.076923076923078,7.6923076923076925,4.615384615384616
261,20.306513409961685,19.54022988505747,13.409961685823754,7.662835249042145,4.597701149425287
262,20.229007633587788,19.46564885496183,13.358778625954198,7.633587786259542,4.580152671755725
263,20.53231939163498,19.39163498098859,13.307984790874524,7.604562737642586,4.562737642585551
264,20.454545454545457,19.318181818181817,13.257575757575758,7.575757575757576,4.924242424242424
265,20.754716981132077,19.245283018867926,13.20754716981132,7.547169811320755,4.905660377358491
266,20.676691729323306,19.548872180451127,13.157894736842104,7.518796992481203,4.887218045112782
